Planet,Distance
HD 125612 b,52.83
HD 113337 b,37.42
GJ 3138 d,28.48
Kepler-611 b,906.00
Kepler-1230 b,1433.00
GJ 3138 c,28.48
GJ 3138 b,28.48
Kepler-422 b,
Kepler-1408 b,426.00
Kepler-621 b,389.00
Kepler-132 d,
HD 222155 b,50.45
Kepler-132 b,
K2-195 c,
WASP-19 b,250.00
Kepler-1606 b,880.00
HD 134987 c,22.20
HD 134987 b,22.20
K2-27 b,
Kepler-558 b,652.00
Kepler-161 b,
Kepler-1168 b,911.00
KIC 5437945 b,
Kepler-1198 b,777.00
K2-160 b,
Kepler-445 c,90.00
NN Ser d,500.00
Kepler-1589 b,1418.00
Kepler-1621 b,1461.00
HD 114613 b,20.48
Kepler-656 b,867.00
Kepler-695 b,620.00
Kepler-888 b,413.00
Kepler-1249 b,1674.00
eps Eri b,3.21
Kepler-839 b,833.00
HD 111232 b,28.88
HAT-P-55 b,480.00
Kepler-9 d,650.00
Kepler-610 c,1113.00
Kepler-610 b,1113.00
HD 11964 c,33.98
HD 11964 b,33.98
OGLE-2008-BLG-092L b,8100.00
Kepler-852 b,854.00
HD 20782 b,35.50
Kepler-1464 b,692.00
Kepler-1464 c,692.00
Kepler-712 c,944.00
KIC 3558849 b,
Kepler-346 b,
Kepler-990 c,933.00
Kepler-1497 b,1122.00
Kepler-880 b,673.00
Kepler-762 b,1465.00
Kepler-671 b,1139.00
Kepler-1290 b,1321.00
Kepler-162 c,
DP Leo b,
Kepler-264 b,
Kepler-936 b,687.00
Kepler-464 b,653.00
Kepler-1175 b,1244.00
HD 50554 b,31.03
Kepler-1653 b,755.00
Kepler-1014 b,672.00
Kepler-1013 b,433.00
Kepler-510 b,378.00
Kepler-753 b,278.00
WTS-2 b,1000.00
K2-201 c,
K2-201 b,
Kepler-1475 b,1714.00
Kepler-193 c,
Kepler-112 b,
Kepler-80 c,357.00
Kepler-551 b,312.00
Kepler-80 e,357.00
Kepler-80 d,357.00
Kepler-80 g,357.00
Kepler-112 c,
Kepler-650 b,805.00
gam Lib c,46.69
gam Lib b,46.69
Kepler-75 b,1140.00
TrES-4 b,492.00
WASP-47 b,200.00
Kepler-404 b,
Kepler-1311 c,705.00
K2-100 b,
WASP-16 b,
KIC 7917485 b,
Kepler-381 b,
Kepler-381 c,
K2-35 c,
K2-35 b,
Kepler-1142 b,697.00
Kepler-1350 b,350.00
Kepler-1350 c,350.00
Kepler-1240 b,614.00
tau Cet e,3.65
Kepler-133 b,
OGLE-TR-113 b,600.00
Kepler-977 b,664.00
WASP-47 c,200.00
Pr0201 b,
Kepler-985 b,741.00
Kepler-398 b,
Kepler-528 b,711.00
Kepler-1055 b,422.00
Kepler-273 c,
Kepler-284 b,
HD 164595 b,28.93
WASP-114 b,460.00
HD 160691 d,15.28
HATS-32 b,839.00
HD 160691 b,15.28
HD 160691 c,15.28
Kepler-713 b,1003.00
kap CrB b,30.50
HATS-42 b,942.00
Kepler-883 b,549.00
K2-5 c,
K2-5 b,
WASP-28 b,410.00
Kepler-1147 b,1476.00
Kepler-163 b,
Kepler-714 b,1460.00
Kepler-1645 b,844.00
Kepler-676 b,243.00
Kepler-755 c,368.00
Kepler-755 b,368.00
KOI-55 b,1180.00
KOI-55 c,1180.00
Kepler-575 b,852.00
Kepler-245 c,
Kepler-245 b,
Kepler-245 e,
Kepler-245 d,
Kepler-547 b,361.00
NGC 2682 YBP 401 b,
Kepler-1089 b,227.00
Kepler-489 b,379.00
tau Cet f,3.65
Kepler-237 b,
Kepler-1585 b,1269.00
Kepler-237 c,
Kepler-48 e,
HIP 63242 b,149.25
Kepler-1516 b,872.00
K2-170 c,
Kepler-48 c,
Kepler-48 b,
WASP-5 b,300.00
Kepler-1264 b,814.00
HAT-P-18 b,166.00
Kepler-961 b,607.00
Kepler-653 c,593.00
Kepler-1318 b,475.00
Kepler-188 c,
Kepler-188 b,
Kepler-1048 b,415.00
Kepler-194 c,
Kepler-790 b,727.00
WASP-153 b,430.00
Kepler-1612 b,837.00
Qatar-1 b,
HATS-6 b,148.40
Kepler-439 b,693.00
Kepler-1432 b,1552.00
Kepler-904 b,1151.00
rho CrB c,17.24
Kepler-1169 b,538.00
K2-3 c,
K2-3 b,
K2-3 d,
Kepler-1480 b,540.00
Kepler-525 b,566.00
HAT-P-14 b,205.00
Kepler-347 b,
Kepler-703 b,1482.00
Kepler-833 b,421.00
Kepler-535 b,678.00
NY Vir b,
Kepler-872 b,1114.00
Kepler-572 b,532.00
Kepler-1536 b,401.00
Kepler-50 c,
Kepler-587 b,852.00
Kepler-1030 b,795.00
Kepler-450 c,
Kepler-1526 b,576.00
Kepler-1110 b,726.00
Kepler-142 d,
Kepler-1080 b,688.00
WASP-15 b,
Kepler-142 c,
Kepler-142 b,
HD 33844 b,100.90
HD 33844 c,100.90
HD 37124 d,33.24
HD 185269 b,47.37
Kepler-212 c,
Kepler-212 b,
Wolf 1061 d,4.30
Kepler-24 c,1200.00
K2-44 b,
Kepler-450 b,
24 Sex b,74.79
24 Sex c,74.79
BD-08 2823 b,42.09
BD-08 2823 c,42.09
Kepler-1214 b,757.00
Kepler-787 b,468.00
Kepler-916 b,769.00
HD 23596 b,52.00
Kepler-433 b,1870.00
Kepler-898 b,479.00
Kepler-282 b,
K2-211 b,
MOA-2008-BLG-379L b,3300.00
Kepler-52 c,
Kepler-1329 b,624.00
OGLE-2012-BLG-0358L b,1760.00
WASP-36 b,450.00
Kepler-1579 b,466.00
Kepler-1429 b,1156.00
Wolf 1061 c,4.30
Kepler-336 d,
HAT-P-8 b,230.00
Kepler-336 c,
Wolf 1061 b,4.30
HD 145377 b,55.19
Kepler-417 c,
OGLE-2013-BLG-0132L b,3900.00
HD 43197 b,56.30
AB Pic b,45.52
Kepler-946 b,918.00
Kepler-1560 b,529.00
HD 131496 b,121.36
WASP-139 b,230.00
Kepler-1064 b,374.00
K2-126 b,
Kepler-1128 b,1163.00
Kepler-1078 b,1215.00
Kepler-144 c,
Kepler-144 b,
Kepler-1531 b,670.00
Kepler-232 c,
Kepler-232 b,
Kepler-366 c,
HD 89307 b,30.88
Kepler-1454 b,795.00
Kepler-606 b,1208.00
K2-84 c,
K2-84 b,
Kepler-1413 b,1162.00
Kepler-316 c,
14 Her b,18.15
Kepler-1633 b,811.00
XO-4 b,293.00
KIC 5951458 b,
K2-223 c,
K2-223 b,
Kepler-1192 b,1108.00
Kepler-401 c,
K2-197 b,
Kepler-101 b,
Kepler-101 c,
Kepler-19 d,2119.00
Kepler-19 c,2119.00
Kepler-1151 b,763.00
Kepler-1322 b,1217.00
Kepler-1570 b,463.00
K2-177 b,
HD 24040 b,46.51
Kepler-401 b,
WASP-140 b,180.00
Kepler-327 d,
WASP-65 b,310.00
Kepler-414 c,
HD 6434 b,40.32
Kepler-1257 b,1081.00
Kepler-1233 b,1281.00
Kepler-612 b,932.00
K2-120 b,
Kepler-1398 b,793.00
Kepler-1398 c,793.00
Kepler-1348 b,1033.00
Kepler-426 b,880.00
Kepler-1137 b,971.00
Kepler-976 b,1020.00
Kepler-386 c,
HD 156846 b,49.00
Kepler-414 b,
CoRoT-16 b,840.00
Kepler-235 d,369.00
BD-13 2130 b,766.00
K2-61 b,
WASP-84 b,125.00
HD 11977 b,66.49
Kepler-235 b,369.00
Kepler-235 c,369.00
Kepler-1473 b,625.00
Kepler-1409 b,722.00
Kepler-33 f,
Kepler-33 e,
Kepler-33 d,
Kepler-33 c,
Kepler-33 b,
Kepler-356 b,
Kepler-356 c,
Kepler-179 c,
Kepler-179 b,
HD 107148 b,51.26
HD 168443 c,37.88
HD 220689 b,45.23
NGTS-1 b,224.00
HD 1502 b,167.50
Kepler-795 b,458.00
Kepler-240 b,
Kepler-657 b,1244.00
Kepler-672 b,1011.00
Kepler-634 b,757.00
Kepler-240 c,
OGLE-2005-BLG-390L b,6600.00
WASP-44 b,
HD 217107 c,19.72
HD 217107 b,19.72
K2-161 b,
HD 125612 c,52.83
HD 158996 b,294.10
HD 125612 d,52.83
Kepler-1588 b,658.00
Kepler-779 b,224.00
Kepler-1158 b,1258.00
Kepler-1495 b,1307.00
Kepler-696 b,1285.00
Kepler-9 c,650.00
Kepler-9 b,650.00
HR 810 b,17.24
HD 200964 b,68.35
K2-26 b,
HAT-P-54 b,
HD 114783 b,20.40
Kepler-506 b,231.00
Kepler-1297 b,996.00
Kepler-163 c,
HD 108341 b,49.40
HD 70573 b,45.70
Kepler-521 b,737.00
WASP-21 b,242.00
HD 290327 b,56.70
Kepler-347 c,
HR 2562 b,33.63
K2-200 b,
Kepler-1474 b,1214.00
K2-66 b,
Kepler-801 b,419.00
HD 96127 b,221.24
HD 187123 c,47.92
HD 187123 b,47.92
Kepler-725 b,778.00
Kepler-1652 b,252.00
Kepler-1017 b,554.00
Kepler-752 b,1075.00
Kepler-131 b,
WASP-17 b,400.00
Kepler-329 b,
HAT-P-30 b,193.00
Kepler-386 b,
HD 22781 b,31.79
Kepler-810 b,1554.00
Kepler-192 b,
Kepler-192 c,
Kepler-550 b,563.00
Kepler-1518 b,1140.00
Kepler-192 d,
Kepler-750 c,1181.00
Kepler-122 c,
Kepler-122 b,
Kepler-1172 b,1292.00
Kepler-122 f,
Kepler-122 e,
Kepler-122 d,
Kepler-539 b,313.00
Kepler-511 b,448.00
Kepler-1383 b,961.00
K2-101 b,
HD 204313 b,47.30
HD 204313 c,47.30
Kepler-63 b,200.00
HD 200964 c,68.35
Kepler-1054 b,1050.00
Kepler-270 c,
Kepler-270 b,
Kepler-1351 b,241.00
Kepler-1241 b,936.00
Kepler-651 b,537.00
HAT-P-43 b,542.00
Kepler-670 b,980.00
HD 197037 b,33.00
Kepler-596 b,1083.00
HD 30562 b,26.50
Kepler-1509 b,1277.00
Kepler-986 b,563.00
Kepler-1146 b,694.00
HD 73534 b,81.00
Kepler-1646 b,81.00
Kepler-717 b,1126.00
GJ 849 b,8.77
Kepler-629 b,383.00
K2-4 b,
HD 93083 b,28.90
Kepler-1587 b,907.00
Kepler-999 b,568.00
Kepler-1328 b,630.00
Kepler-242 b,
HD 16417 b,25.54
HD 2638 b,53.71
Kepler-242 c,
Kepler-718 b,1520.00
WASP-70 A b,245.00
Kepler-754 b,1192.00
Kepler-1303 b,905.00
Kepler-824 b,1352.00
Kepler-818 b,967.00
HD 38283 b,37.78
Kepler-504 b,75.00
Kepler-488 b,1157.00
Kepler-1493 b,572.00
K2-89 b,
Kepler-189 b,
Kepler-189 c,
HAT-P-39 b,642.00
Kepler-598 b,686.00
Kepler-1049 b,129.00
nu Oph b,46.84
Kepler-1517 b,869.00
OGLE-2014-BLG-0676L b,2220.00
GJ 674 b,4.54
Kepler-574 b,747.00
Kepler-155 c,293.00
Kepler-155 b,293.00
Kepler-244 d,
HD 102117 b,42.00
HD 114762 b,40.57
K2-34 b,
Kepler-1342 b,941.00
Kepler-1319 b,114.00
Kepler-1431 b,1270.00
HD 114729 b,35.00
Kepler-441 b,284.00
Kepler-793 b,794.00
Kepler-1611 b,686.00
OGLE-2007-BLG-368L b,5900.00
Kepler-1265 b,581.00
Kepler-967 b,499.00
Kepler-967 c,499.00
Kepler-534 b,473.00
Kepler-1444 b,340.00
HD 45350 b,48.95
Kepler-1481 b,493.00
Kepler-1321 b,547.00
Kepler-1321 c,547.00
Kepler-375 b,
HAT-P-65 b,841.00
Kepler-700 b,1061.00
CoRoT-3 b,680.00
Kepler-1375 b,1238.00
