Planet,Distance
Kepler-1258 b,651.00
ups And d,13.47
HATS-27 b,840.00
HD 99109 b,60.46
Kepler-828 b,625.00
ups And c,13.47
HAT-P-27 b,204.00
Kepler-168 b,
Kepler-1108 b,764.00
BD+20 274 b,
Kepler-156 b,
Kepler-156 c,
Kepler-185 b,
Kepler-185 c,
Kepler-954 b,224.00
Kepler-935 b,482.00
WASP-43 b,80.00
HD 16141 b,35.91
Kepler-254 c,
Kepler-254 b,
CoRoT-24 b,600.00
HD 154345 b,18.06
HD 118203 b,88.57
Kepler-254 d,
K2-111 b,
Kepler-346 c,
TrES-2 b,213.00
Kepler-1605 b,224.00
Kepler-1300 b,757.00
HAT-P-42 b,447.00
Kepler-390 b,
Kepler-390 c,
HATS-11 b,
Kepler-303 b,
Kepler-303 c,
psi 1 Dra B b,22.16
HD 109749 b,59.03
Kepler-134 b,
Kepler-134 c,
HD 159243 c,68.59
HD 159243 b,68.59
Kepler-804 b,648.00
Kepler-804 c,648.00
Kepler-758 d,1353.00
Kepler-638 b,426.00
Kepler-393 b,
Kepler-1062 b,388.00
K2-13 b,
Kepler-83 b,
Kepler-1162 b,989.00
Kepler-522 b,749.00
Kepler-26 c,
Kepler-1337 b,588.00
Kepler-175 c,
Kepler-175 b,
MOA-2011-BLG-028L b,7380.00
XO-3 b,174.00
Kepler-600 b,624.00
WASP-130 b,180.00
Kepler-1341 b,466.00
Kepler-1251 b,863.00
Kepler-450 d,
Kepler-1123 b,796.00
Kepler-1366 b,395.00
GJ 832 b,4.94
GJ 832 c,4.94
Kepler-1205 b,766.00
Kepler-966 b,773.00
Kepler-903 b,829.00
Kepler-903 c,829.00
Kepler-325 c,
K2-83 b,
K2-83 c,
K2-132 b,
Kepler-1021 b,837.00
Kepler-27 b,
Kepler-27 c,
NGC 2682 Sand 978 b,628.93
Kepler-1317 b,734.00
HD 133131 A b,47.00
HD 133131 A c,47.00
MOA-2011-BLG-322L b,7560.00
Kepler-819 b,722.00
KOI-1257 b,900.00
Kepler-199 c,
K2-33 b,
MXB 1658-298 b,
Kepler-98 b,
2MASS J12073346-3932539 b,52.40
Kepler-1425 b,499.00
TrES-5 b,360.00
HD 17156 b,75.00
Kepler-279 d,
Kepler-279 b,
Kepler-279 c,
CoRoT-10 b,345.00
Kepler-428 b,720.00
Kepler-1139 b,555.00
HD 28678 b,168.92
Kepler-355 b,
Kepler-768 b,795.00
Kepler-1503 b,850.00
HD 106252 b,37.40
OGLE-2008-BLG-355L b,6800.00
Kepler-480 b,806.00
Kepler-4 b,550.00
HD 47186 b,37.84
WASP-119 b,333.00
HAT-P-37 b,411.00
Kepler-1125 b,910.00
WASP-41 b,180.00
Kepler-660 b,564.00
K2-95 b,
Kepler-402 d,
Kepler-150 e,927.00
Kepler-971 b,345.00
HD 30669 b,57.10
WASP-55 b,330.00
Kepler-1624 b,199.00
Kepler-735 b,790.00
EPIC 220674823 c,
EPIC 220674823 b,
OGLE-TR-132 b,2500.00
Kepler-312 c,
HD 13189 b,300.30
K2-182 b,
Kepler-1592 b,1349.00
70 Vir b,18.11
Kepler-673 b,978.00
HR 8799 d,39.40
HR 8799 e,39.40
HR 8799 b,39.40
HR 8799 c,39.40
K2-9 b,
Kepler-351 c,
Kepler-351 b,
Kepler-446 c,120.00
Kepler-1469 b,1255.00
Kepler-28 c,
Kepler-28 b,
Kepler-351 d,
Kepler-41 b,770.00
Kepler-1586 b,864.00
HD 86950 b,169.00
HAT-P-5 b,340.00
KOI-13 b,
Kepler-867 b,824.00
HAT-P-21 b,254.00
Kepler-541 b,1020.00
Kepler-96 b,
HD 204941 b,26.95
Kepler-592 b,1034.00
Kepler-1043 b,838.00
Kepler-799 b,1029.00
Kepler-991 b,370.00
Kepler-1568 b,883.00
WASP-90 b,340.00
Kepler-1438 b,866.00
Kepler-341 d,
Kepler-341 e,
WASP-126 b,234.00
Kepler-341 b,
Kepler-341 c,
Kepler-207 d,
Kepler-207 c,
Kepler-207 b,
Kepler-366 b,
Kepler-1272 b,896.00
HD 8574 b,44.20
Kepler-508 b,325.00
Kepler-723 b,965.00
Kepler-1654 b,
Kepler-897 b,1147.00
Kepler-1226 b,779.00
Kepler-625 b,502.00
Kepler-1004 b,1080.00
HD 12484 b,51.10
Kepler-516 b,777.00
Kepler-124 d,
K2-185 b,
Kepler-186 b,172.00
Kepler-1098 b,876.00
Kepler-124 c,
Kepler-124 b,
Kepler-1599 b,1004.00
HD 158038 b,114.15
K2-206 b,
Kepler-1196 b,946.00
HIP 109384 b,56.20
HD 20794 b,6.06
HD 20794 c,6.06
HD 20794 d,6.06
HD 20794 e,6.06
Kepler-248 b,
Kepler-248 c,
Kepler-1212 b,1304.00
HD 100777 b,52.80
Pr0211 c,
WASP-68 b,
Kepler-1187 b,1029.00
Kepler-62 d,368.00
Kepler-186 e,172.00
Kepler-186 d,172.00
Kepler-186 f,172.00
Kepler-589 b,643.00
Kepler-271 b,
Kepler-186 c,172.00
HAT-P-28 b,395.00
Kepler-46 c,855.00
Kepler-1520 b,636.00
Kepler-227 c,
Kepler-227 b,
Kepler-373 c,
Kepler-373 b,
Kepler-56 b,
Kepler-46 d,855.00
KELT-20 b,139.70
HD 169830 b,36.32
HD 169830 c,36.32
Kepler-1561 b,993.00
WASP-151 b,
Kepler-162 b,
WASP-4 b,300.00
Ross 458 c,11.43
Kepler-1420 b,923.00
HD 12648 b,158.40
Kepler-983 b,655.00
Kepler-1600 b,992.00
Kepler-266 c,
Kepler-1002 b,425.00
Kepler-400 b,
Kepler-747 b,855.00
Kepler-496 b,655.00
Kepler-400 c,
Kepler-110 b,
Kepler-110 c,
K2-71 b,
Kepler-1140 b,657.00
K2-217 b,
WASP-39 b,230.00
Kepler-1101 b,897.00
Kepler-476 b,687.00
Kepler-1091 b,915.00
Kepler-1365 b,541.00
Kepler-1365 c,541.00
Kepler-785 b,666.00
Kepler-1465 b,350.00
Kepler-391 b,
Kepler-920 c,926.00
Kepler-920 b,926.00
HATS-34 b,532.00
Kepler-483 b,953.00
Kepler-1455 b,392.00
WASP-73 b,
tau Cet h,3.65
tau Cet g,3.65
Kepler-1638 b,879.00
K2-170 b,
Kepler-1188 b,1202.00
HD 145457 b,126.10
HD 87646 b,73.58
Kepler-1404 b,946.00
Kepler-1387 b,491.00
Kepler-108 c,
Kepler-108 b,
WASP-3 b,220.00
Kepler-1339 b,267.00
Kepler-724 b,862.00
HIP 12961 b,23.80
Kepler-578 b,568.00
WASP-105 b,
Kepler-324 c,
Kepler-324 b,
Kepler-1445 b,482.00
KELT-2 A b,124.22
WASP-106 b,283.00
HATS-24 b,510.00
Kepler-446 d,120.00
HD 73267 b,54.91
Kepler-1075 b,265.00
HD 168443 b,37.88
Kepler-293 b,
Kepler-446 b,120.00
Kepler-1117 b,619.00
Kepler-992 b,268.00
Kepler-825 c,820.00
Kepler-595 b,639.00
Kepler-1149 b,1023.00
HD 63765 b,32.62
Kepler-296 e,226.00
Kepler-296 d,226.00
Kepler-296 f,226.00
HD 106515 A b,36.36
Kepler-683 b,976.00
Kepler-296 c,226.00
Kepler-296 b,226.00
Kepler-255 b,
Kepler-255 c,
CoRoT-23 b,600.00
WASP-118 b,
Kepler-93 c,
Kepler-255 d,
HD 177565 b,17.17
Kepler-478 b,420.00
Kepler-1486 b,1465.00
Kepler-1649 b,
Oph 11 b,125.00
GJ 273 c,3.80
GJ 273 b,3.80
V0391 Peg b,1400.00
Kepler-953 c,240.00
Kepler-953 b,240.00
Kepler-137 c,
Kepler-137 b,
Kepler-193 b,
K2-110 b,
TrES-3 b,228.00
K2-183 d,
Kepler-498 b,746.00
K2-183 b,
K2-183 c,
Kepler-1593 b,755.00
HD 10647 b,17.35
Kepler-300 c,
Kepler-300 b,
Kepler-640 b,538.00
Kepler-1330 b,939.00
HD 68402 b,78.00
Kepler-447 b,
WASP-120 b,437.00
K2-14 b,
Kepler-807 b,1312.00
HD 34445 d,45.01
HD 34445 e,45.01
HD 34445 f,45.01
HD 34445 g,45.01
HD 153950 b,51.87
WASP-75 b,260.00
HD 34445 b,45.01
HD 34445 c,45.01
K2-180 b,
Kepler-1165 b,1081.00
WISEP J121756.91+162640.2 A b,10.10
Kepler-981 b,913.00
Kepler-1122 b,924.00
Kepler-290 c,
Kepler-267 d,
Kepler-174 d,
Kepler-174 b,
Kepler-174 c,
Kepler-267 c,
Kepler-267 b,
Kepler-869 b,957.00
HD 1461 c,23.44
Kepler-1063 b,365.00
WASP-133 b,547.00
Kepler-382 b,
tau Gem b,92.51
Kepler-1340 b,1421.00
Kepler-1250 b,1371.00
Kepler-1022 b,455.00
Kepler-26 b,
16 Cyg B b,21.41
Kepler-26 d,
Kepler-1538 b,1291.00
Kepler-418 b,
GJ 1148 b,11.03
HD 101930 b,30.50
Kepler-1206 b,807.00
TYC 4282-00605-1 b,700.00
HAT-P-17 c,90.00
HAT-P-17 b,90.00
K2-131 b,
K2-30 b,
Kepler-1314 b,462.00
Kepler-1311 b,705.00
OGLE-2017-BLG-0173L b,4705.00
Kepler-1447 b,871.00
K2-155 c,82.00
K2-155 b,82.00
OGLE-2005-BLG-169L b,4100.00
K2-155 d,82.00
Kepler-99 b,
Kepler-1178 b,336.00
Kepler-698 b,1135.00
Kepler-395 c,360.00
Kepler-395 b,360.00
WASP-1 b,408.00
Kepler-813 b,840.00
WASP-129 b,246.00
HAT-P-31 b,354.00
Kepler-816 b,1059.00
Kepler-198 b,
Kepler-198 c,
Kepler-198 d,
ups And b,13.47
HD 37124 b,33.24
Kepler-769 b,1362.00
Kepler-769 c,1362.00
Kepler-78 b,
K2-156 b,
Kepler-85 b,
Kepler-310 c,
Kepler-970 b,350.00
MOA-2009-BLG-266L b,3040.00
Kepler-727 b,892.00
Kepler-1554 b,982.00
Kepler-770 b,761.00
WASP-135 b,300.00
CoRoT-11 b,560.00
Kepler-276 b,
HD 85512 b,11.15
Kepler-276 d,
Kepler-770 d,761.00
81 Cet b,97.18
HIP 5158 b,44.80
HIP 5158 c,44.80
Kepler-350 b,
Kepler-350 c,
Kepler-846 b,1233.00
Kepler-350 d,
Kepler-734 b,553.00
Kepler-1581 b,443.00
HIP 41378 e,116.14
Kepler-823 b,896.00
Kepler-1235 b,533.00
Kepler-1124 b,177.00
HD 70642 b,28.76
WASP-76 b,120.00
Kepler-404 c,
HD 203030 b,40.85
BD+20 1790 b,25.40
Kepler-1545 b,688.00
2MASS J21402931+1625183 A b,25.00
Kepler-180 c,
Kepler-180 b,
Kepler-97 c,
Kepler-542 b,439.00
Kepler-1040 b,473.00
Kepler-1490 b,968.00
Kepler-40 b,2700.00
BD-11 4672 b,27.30
HD 65216 b,35.59
HD 65216 c,35.59
Kepler-251 c,
Kepler-304 e,
Kepler-866 b,690.00
HAT-P-22 b,82.00
Kepler-763 b,902.00
Kepler-1275 b,1280.00
Kepler-798 b,1085.00
Kepler-208 b,
HD 210702 b,55.93
HD 77338 b,41.27
HAT-P-6 b,261.00
Kepler-191 b,
Kepler-1519 b,858.00
Kepler-206 d,
Kepler-206 b,
Kepler-206 c,
Kepler-686 b,1203.00
K2-77 b,
OGLE-2012-BLG-0724L b,6700.00
Kepler-1005 b,515.00
Kepler-1468 b,1130.00
HD 106270 b,87.87
Kepler-509 b,339.00
GJ 3998 c,17.79
CoRoT-18 b,870.00
Kepler-119 c,
Kepler-119 b,
Kepler-853 b,610.00
Kepler-1617 b,813.00
Kepler-894 b,1090.00
Kepler-624 b,731.00
Kepler-1227 b,667.00
Kepler-665 b,651.00
WASP-31 b,360.00
K2-209 b,
GJ 687 b,4.53
HD 1666 b,110.62
Kepler-515 b,255.00
Kepler-125 b,
CoRoT-24 c,600.00
HD 45652 b,36.14
K2-168 b,
Kepler-1523 b,918.00
Kepler-226 c,
Kepler-226 d,
Kepler-372 c,
Kepler-57 c,
Kepler-57 b,
Kepler-1211 b,1486.00
Kepler-881 b,1364.00
HD 162020 b,31.26
Kepler-834 b,620.00
CoRoT-5 b,
WASP-10 b,90.00
HAT-P-9 b,480.00
K2-37 b,
Kepler-406 b,
HAT-P-29 b,322.00
Kepler-187 c,
Kepler-406 c,
Kepler-1601 b,660.00
PSR B1620-26 b,
KELT-21 b,415.00
HD 150706 b,27.23
Kepler-284 c,
HATS-10 b,496.00
Kepler-243 b,
GJ 3021 b,17.62
Kepler-722 c,1375.00
Kepler-219 b,
WASP-7 b,140.00
Kepler-1421 b,675.00
HD 160691 e,15.28
HD 147018 b,42.96
HD 147018 c,42.96
Kepler-354 d,
K2-214 b,
Kepler-259 b,
TYC 3667-1280-1 b,481.00
Kepler-259 c,
Kepler-333 c,
Kepler-333 b,
Kepler-964 b,478.00
Kepler-633 b,634.00
Kepler-47 b,1500.00
Kepler-466 c,436.00
HD 17674 b,44.50
Kepler-117 c,1430.00
Kepler-117 b,1430.00
Kepler-921 b,847.00
Kepler-565 b,1041.00
Kepler-482 b,290.00
HD 192310 c,8.82
CoRoT-29 b,765.00
Kepler-477 b,367.00
Kepler-1100 b,940.00
OGLE-2005-BLG-071L b,3200.00
HD 73256 b,36.52
Kepler-1640 b,1379.00
Kepler-1003 b,873.00
Kepler-503 b,888.00
Kepler-744 b,486.00
HD 143105 b,48.70
XO-2 S b,148.00
Kepler-1466 b,686.00
TCP J05074264+2447555 b,380.00
Kepler-956 b,631.00
Kepler-1405 b,1605.00
Kepler-1386 b,838.00
K2-57 b,
SWEEPS-11 b,8500.00
Kepler-139 c,
Kepler-139 b,
Kepler-419 b,
Kepler-419 c,
Kepler-1207 b,946.00
Kepler-905 b,521.00
Kepler-368 b,
Kepler-649 b,525.00
Kepler-1608 b,832.00
Kepler-109 b,
Kepler-109 c,
Kepler-56 c,
Kepler-1584 b,1325.00
Kepler-325 d,
Kepler-919 b,1219.00
Kepler-325 b,
Kepler-275 b,
K2-42 b,
HD 165155 b,64.98
HD 156279 b,35.37
Kepler-682 b,951.00
Kepler-266 b,
Kepler-297 b,
Kepler-297 c,
WASP-107 b,
Kepler-1256 b,862.00
HATS-25 b,466.00
HD 82943 b,27.46
HD 82943 c,27.46
Lupus-TR-3 b,2000.00
HD 85390 b,33.96
Kepler-1154 b,1531.00
Kepler-1154 c,1531.00
HD 156411 b,55.10
Kepler-1148 b,682.00
Kepler-742 b,499.00
Kepler-952 b,1167.00
Kepler-994 b,170.00
HD 98649 b,42.77
HATS-39 b,773.00
Kepler-562 b,822.00
CoRoT-22 b,592.00
Kepler-256 b,
Kepler-256 e,
Kepler-256 d,
Proxima Cen b,1.29
Kepler-1074 b,245.00
1RXS J160929.1-210524 b,145.00
Kepler-1487 b,1094.00
HAT-P-19 b,215.00
VHS J125601.92-125723.9 b,12.70
Kepler-301 b,
Kepler-301 c,
Kepler-301 d,
Kepler-1084 b,427.00
Kepler-136 b,
Kepler-136 c,
Kepler-308 c,
OGLE-2016-BLG-1195L b,3910.00
Kepler-1622 b,927.00
Kepler-733 b,980.00
K2-230 b,
OGLE-2011-BLG-0251L b,2570.00
HD 75784 b,68.70
HIP 65891 b,136.05
HD 108874 c,68.50
HD 108874 b,68.50
Kepler-1164 b,447.00
KELT-4 A b,210.00
K2-15 b,
Kepler-165 b,
Kepler-1331 b,365.00
Kepler-902 b,904.00
Kepler-1380 b,1209.00
Kepler-310 d,
K2-113 b,
Kepler-310 b,
K2-164 b,
HATS-17 b,339.00
Kepler-262 c,
OGLE-TR-182 b,
Kepler-392 b,
HD 117618 b,38.02
WASP-132 b,120.00
HIP 116454 b,55.20
Kepler-1343 b,1307.00
Kepler-1651 b,69.40
Kepler-868 b,1269.00
HD 42012 b,37.10
Kepler-776 b,727.00
Kepler-806 b,260.00
HAT-P-51 b,470.00
Kepler-537 b,465.00
HD 175541 b,127.55
K2-81 b,
Kepler-1441 b,751.00
Kepler-789 b,915.00
K2-130 b,
Kepler-1543 b,1114.00
Kepler-25 c,
Kepler-1023 b,686.00
Kepler-103 b,
Kepler-25 d,
Kepler-1539 b,788.00
Kepler-291 b,
Kepler-291 c,
Kepler-135 c,
Kepler-103 c,
Kepler-177 c,
Kepler-177 b,
Kepler-85 c,
HAT-P-16 b,235.00
Kepler-210 b,
Kepler-308 b,
Kepler-328 c,
Kepler-468 b,474.00
Kepler-1179 b,454.00
HD 40307 f,12.83
HD 40307 g,12.83
HD 40307 d,12.83
HD 73526 b,94.61
HD 40307 b,12.83
HD 40307 c,12.83
Kepler-249 b,
Kepler-484 b,377.00
Kepler-514 b,489.00
Kepler-757 b,1016.00
K2-154 b,133.00
K2-154 c,133.00
GJ 3470 b,25.20
Kepler-264 c,
Kepler-84 e,
Kepler-1352 b,637.00
HD 95127 b,332.00
Kepler-328 b,
Kepler-79 e,
K2-115 b,
Kepler-1501 b,888.00
Kepler-84 b,
Kepler-394 b,
Kepler-394 c,
HAT-P-25 b,297.00
KELT-19 A b,292.00
Kepler-1315 b,505.00
Kepler-817 b,1401.00
K2-31 b,
Kepler-1452 b,974.00
WASP-12 b,
HATS-18 b,645.00
2MASS J22362452+4751425 b,74.00
Kepler-83 c,
Kepler-84 d,
WASP-53 c,
WASP-53 b,
HD 196050 b,46.93
Kepler-973 b,297.00
Kepler-280 b,
Kepler-280 c,
Kepler-1051 b,1021.00
Kepler-277 c,
Kepler-79 d,
Kepler-171 c,
Kepler-171 b,
MOA-2010-BLG-117L b,3500.00
Kepler-84 c,
Kepler-1544 b,349.00
Kepler-353 c,
Kepler-353 b,
Kepler-1071 b,964.00
OGLE-2014-BLG-1760L b,6860.00
Kepler-6 b,
Kepler-615 b,330.00
Kepler-1234 b,866.00
Kepler-1127 b,996.00
Kepler-454 b,
K2-97 b,
Kepler-662 b,641.00
Kepler-1499 b,310.00
HIP 91258 b,44.46
HD 240237 b,307.69
HAT-P-23 b,393.00
Kepler-865 b,664.00
Kepler-181 b,
Kepler-181 c,
Kepler-543 b,212.00
K2-141 b,58.77
Kepler-590 b,986.00
Kepler-1041 b,979.00
CoRoT-28 b,560.00
Kepler-194 d,
Kepler-1107 b,457.00
Kepler-470 b,989.00
Kepler-1093 b,848.00
Kepler-1093 c,848.00
Kepler-759 b,892.00
HD 109271 c,56.92
HD 109271 b,56.92
Kepler-1274 b,609.00
MOA-2010-BLG-328L b,810.00
HAT-P-36 b,317.00
Kepler-194 b,
K2-38 b,
K2-38 c,
Kepler-190 b,
HAT-P-7 b,320.00
Kepler-989 b,484.00
V830 Tau b,150.00
GJ 3942 b,16.96
Kepler-1616 b,862.00
Kepler-895 b,516.00
Kepler-1224 b,578.00
Kepler-627 b,1143.00
Kepler-398 d,
Qatar-5 b,
WASP-96 b,
Kepler-435 b,2070.00
HATS-2 b,360.00
CoRoT-19 b,770.00
Kepler-1436 b,1142.00
Kepler-118 b,
Kepler-118 c,
Kepler-83 d,
Kepler-339 d,
Kepler-928 b,532.00
Kepler-1460 b,574.00
K2-208 b,
Kepler-679 b,968.00
Kepler-286 e,
Kepler-166 c,
Kepler-166 b,
HD 95089 b,149.03
Kepler-166 d,
Kepler-49 e,
Kepler-949 b,572.00
Kepler-221 e,
Kepler-1522 b,690.00
Kepler-221 c,
Kepler-221 b,
Kepler-371 c,
Kepler-371 b,
Kepler-563 b,557.00
Kepler-146 c,
Kepler-146 b,
Kepler-257 d,
42 Dra b,97.28
Kepler-1370 b,878.00
Kepler-1370 c,878.00
HD 80606 b,29.04
CoRoT-4 b,
HD 66428 b,55.04
MOA-2011-BLG-262L b,7000.00
Kepler-1422 b,2081.00
HD 86081 b,91.16
HAT-P-44 c,363.00
Kepler-407 c,
HAT-P-1 b,139.00
Kepler-1602 b,815.00
HAT-P-44 b,363.00
Kepler-1210 b,1155.00
Kepler-782 b,412.00
Kepler-460 c,
Kepler-912 b,1265.00
Kepler-567 b,568.00
kap And b,52.03
Kepler-116 b,
Kepler-116 c,
HIP 14810 b,52.88
HIP 14810 c,52.88
Kepler-705 b,251.00
K2-215 b,
Kepler-84 f,
TRAPPIST-1 e,12.10
Kepler-1563 b,547.00
HD 81688 b,88.26
Kepler-332 b,
Kepler-332 c,
Kepler-332 d,
Kepler-630 b,657.00
Kepler-1467 b,890.00
Kepler-926 b,771.00
HATS-36 b,962.00
Kepler-407 b,
Kepler-1641 c,961.00
Kepler-1641 b,961.00
Kepler-1000 b,925.00
HD 4113 b,44.05
Kepler-1208 b,877.00
Kepler-25 b,
HD 87883 b,18.06
K2-50 b,
Kepler-906 b,758.00
Kepler-878 b,567.00
Kepler-1402 b,681.00
KOI-351 h,780.00
KOI-351 i,780.00
Kepler-1024 b,1017.00
Kepler-1542 e,336.00
Kepler-1542 d,336.00
K2-80 c,
K2-80 b,
KOI-351 b,780.00
KOI-351 c,780.00
KOI-351 d,780.00
KOI-351 e,780.00
KOI-351 f,780.00
KOI-351 g,780.00
HD 564 b,53.60
HD 111998 b,32.73
Kepler-326 c,
Kepler-326 b,
Kepler-648 b,665.00
Kepler-1609 b,1483.00
Kepler-1389 b,521.00
Kepler-392 c,
Kepler-1219 b,622.00
HD 129445 b,67.61
HD 11506 c,51.70
HD 11506 b,51.70
Kepler-61 b,
Kepler-1583 b,357.00
K2-227 b,
Kepler-1155 b,987.00
Kepler-990 b,933.00
Kepler-199 b,
Kepler-708 b,1241.00
Kepler-636 b,341.00
Kepler-681 b,666.00
HD 175607 b,45.27
HD 121504 b,44.37
K2-139 b,152.00
Kepler-743 b,258.00
HD 192699 b,67.39
bet Cnc b,89.05
Kepler-171 d,
Kepler-951 b,408.00
Kepler-298 c,
Kepler-298 b,
Kepler-837 b,846.00
Kepler-298 d,
Kepler-531 b,254.00
Kepler-1073 b,837.00
Kepler-1073 c,837.00
K2-231 b,295.00
alf Ari b,20.21
K2-181 b,
Kepler-306 e,
Kepler-306 d,
Kepler-306 c,
Kepler-306 b,
Kepler-841 b,1052.00
Kepler-352 b,
Kepler-352 c,
MOA-2013-BLG-605L b,
Kepler-334 b,
Kepler-732 b,150.00
Kepler-1623 b,986.00
Kepler-933 b,922.00
HATS-16 b,774.00
2MASS J02192210-3925225 b,39.40
HD 23079 b,34.60
Kepler-1167 b,811.00
K2-190 b,
K2-190 c,
HIP 97233 b,106.50
Kepler-131 c,
Kepler-1195 b,812.00
Kepler-43 b,1950.00
K2-165 d,
K2-165 b,
K2-165 c,
Kepler-313 c,
Kepler-313 b,
Kepler-809 b,933.00
Kepler-1434 b,680.00
Kepler-236 c,
HD 192263 b,19.89
HD 44219 b,50.40
HD 12661 b,37.16
HD 12661 c,37.16
omi CrB b,84.03
HD 136418 b,106.38
Kepler-1332 b,515.00
HD 5319 c,114.00
HD 5319 b,114.00
K2-16 b,
K2-16 c,
HAT-P-50 b,497.00
Kepler-775 b,400.00
55 Cnc d,12.53
55 Cnc e,12.53
55 Cnc f,12.53
HAT-P-11 b,38.00
55 Cnc b,12.53
55 Cnc c,12.53
K2-137 b,
Kepler-262 b,
HD 3651 b,11.10
Kepler-50 b,
GJ 876 b,4.70
GJ 876 c,4.70
GJ 876 d,4.70
GJ 876 e,4.70
Kepler-176 d,
Kepler-176 e,
Kepler-292 c,
Kepler-292 b,
Kepler-292 e,
HD 33142 b,136.80
Kepler-176 b,
Kepler-176 c,
HD 219134 g,6.55
HD 219134 f,6.55
HD 69830 d,12.58
K2-157 b,
HD 69830 b,12.58
HD 219134 b,6.55
K2-188 c,
GJ 3293 d,15.77
Kepler-664 b,1386.00
Kepler-309 b,
Kepler-309 c,
Kepler-398 c,
HD 219134 h,6.55
HIP 109600 b,58.60
Kepler-729 b,1271.00
Kepler-487 c,835.00
Kepler-487 b,835.00
Kepler-513 b,467.00
Kepler-253 d,
Kepler-814 b,1327.00
WASP-13 b,155.00
HD 114386 b,28.04
Kepler-282 c,
K2-114 b,
BD+48 738 b,
Kepler-1500 b,904.00
Kepler-1176 b,1023.00
Kepler-467 b,458.00
HD 99492 b,55.70
K2-36 b,
K2-36 c,
Kepler-968 b,312.00
Kepler-1312 b,305.00
Kepler-1066 b,399.00
Kepler-1050 c,555.00
Kepler-1050 b,555.00
Kepler-274 c,
Kepler-274 b,
Kepler-253 b,
rho CrB b,17.24
Kepler-773 b,528.00
Kepler-253 c,
HD 131664 b,57.21
HATS-8 b,829.00
GU Psc b,48.00
Kepler-1237 b,1121.00
Kepler-1126 b,668.00
Kepler-68 b,135.00
Kepler-170 b,
Kepler-1374 b,1135.00
K2-98 b,
Ross 128 b,3.38
Kepler-972 b,1304.00
HIP 57274 d,25.87
HIP 57274 c,25.87
HD 97658 b,21.30
Kepler-901 b,241.00
Kepler-571 b,756.00
HD 213240 b,40.75
HD 154857 c,68.54
HD 154857 b,68.54
Kepler-1594 b,1100.00
Kepler-758 c,1353.00
CoRoT-27 b,
Kepler-1498 b,740.00
BD+15 2375 b,774.00
HAT-P-24 b,396.00
Kepler-770 c,761.00
Kepler-164 d,
HATS-31 b,872.00
Kepler-1468 c,1130.00
Kepler-1553 b,719.00
K2-140 b,340.24
Kepler-471 b,1373.00
Kepler-1106 b,1168.00
Kepler-1092 b,914.00
Kepler-197 e,
Kepler-197 d,
Kepler-197 c,
Kepler-197 b,
GSC 06214-00210 b,145.00
Kepler-218 c,
Kepler-218 b,
HD 178911 B b,47.00
Kepler-388 b,
Kepler-287 b,
Kepler-204 b,
Kepler-204 c,
K2-39 b,
Kepler-544 b,797.00
HD 92788 b,32.32
HAT-P-35 b,535.00
Kepler-1565 b,657.00
Kepler-1435 b,681.00
Kepler-338 c,
Kepler-338 d,
Kepler-338 e,
WASP-85 A b,
Kepler-1615 b,940.00
Kepler-892 b,640.00
Kepler-626 b,690.00
Kepler-1225 b,1241.00
Kepler-405 c,
Kepler-1277 b,606.00
ROXs 12 b,120.00
HD 155358 b,43.00
HD 155358 c,43.00
Kepler-39 b,1200.00
HATS-3 b,453.00
Kepler-436 c,618.00
Kepler-436 b,618.00
Kepler-167 b,330.00
Kepler-167 c,330.00
WASP-56 b,255.00
Kepler-205 c,
Kepler-167 d,330.00
Kepler-167 e,330.00
HD 4308 b,21.85
Kepler-929 b,820.00
Kepler-205 b,
Kepler-1239 b,2511.00
Kepler-618 b,1115.00
Kepler-405 b,
HD 7449 b,38.52
Kepler-348 c,
Qatar-4 b,
Kepler-223 b,
Kepler-1371 c,450.00
Kepler-1371 b,450.00
HD 205739 b,90.33
CoRoT-7 b,153.70
CoRoT-7 c,153.70
K2-146 b,86.00
Kepler-764 b,1013.00
Kepler-561 c,667.00
Kepler-950 b,1489.00
CoRoT-20 b,1230.00
Kepler-251 b,
Kepler-147 b,
Kepler-147 c,
Kepler-250 c,
Kepler-250 b,
Kepler-140 b,
Kepler-707 b,626.00
K2-47 b,
Kepler-911 b,567.00
Kepler-1419 b,1444.00
Kepler-1423 b,449.00
Kepler-1033 b,1425.00
Kepler-55 f,
Kepler-55 e,
HD 42618 b,23.50
Kepler-1525 b,396.00
Kepler-55 b,
HD 216437 b,26.52
Kepler-370 c,
Kepler-1217 b,1363.00
HD 35759 b,72.50
Kepler-331 c,
Kepler-331 b,
HD 82886 b,112.23
Kepler-331 d,
HD 83443 b,43.53
Kepler-430 c,
Kepler-430 b,
Kepler-1285 b,364.00
Kepler-115 c,
Kepler-115 b,
WASP-62 b,160.00
eps Tau b,47.53
Kepler-494 b,862.00
Kepler-1603 b,1751.00
HD 330075 b,50.20
Kepler-1562 b,1315.00
Kepler-1642 b,447.00
Kepler-1001 b,1009.00
Kepler-499 b,523.00
OGLE-TR-10 b,
Kepler-1299 b,1352.00
Kepler-678 b,875.00
K2-212 b,
Qatar-2 b,
Kepler-1494 b,1059.00
HD 220074 b,289.02
Kepler-149 d,
Kepler-149 b,
Kepler-149 c,
Kepler-1201 b,1202.00
Kepler-1209 b,558.00
Kepler-1491 b,1312.00
Kepler-907 b,352.00
HD 209458 b,47.08
Kepler-849 b,747.00
