loc_rowid	pl_hostname	pl_discmethod	pl_pnum	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	st_dist	st_disterr1	st_disterr2	st_distlim	pl_facility
358	HD 13931	Radial Velocity	1	4218.00000000	390.00000000	-390.00000000	0	45.52	1.91	-2.08	0	W. M. Keck Observatory
359	HD 139357	Radial Velocity	1	1125.70000000	9.00000000	-9.00000000	0	121.36	7.46	-8.51	0	Thueringer Landessternwarte Tautenburg
360	HD 14067	Radial Velocity	1	1455.00000000	13.00000000	-12.00000000	0	163.40	12.30	-12.30	0	Okayama Astrophysical Observatory
361	HD 141399	Radial Velocity	4	94.44000000	0.05000000	-0.05000000	0	36.20	0.50	-0.50	0	Multiple Observatories
362	HD 141399	Radial Velocity	4	201.99000000	0.08000000	-0.08000000	0	36.20	0.50	-0.50	0	Multiple Observatories
363	HD 141399	Radial Velocity	4	1069.80000000	6.70000000	-6.70000000	0	36.20	0.50	-0.50	0	Multiple Observatories
364	HD 141399	Radial Velocity	4	5000.00000000	560.00000000	-2000.00000000	0	36.20	0.50	-0.50	0	Multiple Observatories
365	HD 141937	Radial Velocity	1	653.21997000	1.20000000	-1.20000000	0	33.46	1.17	-1.25	0	La Silla Observatory
366	HD 142	Radial Velocity	2	349.70000000	1.20000000	-1.20000000	0	25.64	0.41	-0.43	0	Anglo-Australian Telescope
367	HD 142	Radial Velocity	2	6005.00000000	477.00000000	-477.00000000	0	25.64	0.41	-0.43	0	Anglo-Australian Telescope
368	HD 142022 A	Radial Velocity	1	1928.00000000	46.00000000	-46.00000000	0	35.87	0.85	-0.90	0	La Silla Observatory
369	HD 142245	Radial Velocity	1	1299.00000000	48.00000000	-48.00000000	0	106.38	9.67	-11.82	0	W. M. Keck Observatory
370	HD 142415	Radial Velocity	1	386.29999000	1.60000000	-1.60000000	0	34.57	0.98	-1.03	0	La Silla Observatory
371	HD 143105	Radial Velocity	1	2.19740000	0.00030000	-0.00030000	0	48.70	0.80	-0.80	0	Haute-Provence Observatory
372	HD 143361	Radial Velocity	1	1046.20000000	3.20000000	-3.20000000	0	65.66	5.09	-5.09	0	Las Campanas Observatory
373	HD 145377	Radial Velocity	1	103.95000000	0.13000000	-0.13000000	0	55.19	3.16	-3.57	0	La Silla Observatory
